Datetime,Solar_Radiation_W_m2,Wind_Speed_10m_m_s,Temperature_2m_C,Load_kW,Solar_Power_kW,Wind_Power_kW,Net_Power_kW,Total_Generated_Power_kW,Battery_Energy_kWh,Battery_SoC_%,Unmet_Load_kWh,Dumped_Energy_kWh
2023-01-01 00:00:00,0.0,2.54,-0.94,0.0,0.0,0.0702595369,0.0702595369,0.0702595369,40.0,100.0,0.0,0.07025953689999653
2023-01-01 01:00:00,0.0,2.45,-1.43,0.0,0.0,0.06305251093750001,0.06305251093750001,0.06305251093750001,40.0,100.0,0.0,0.06305251093750286
2023-01-01 02:00:00,0.0,2.18,-1.22,0.0,0.0,0.0444194947,0.0444194947,0.0444194947,40.0,100.0,0.0,0.044419494700001394
2023-01-01 03:00:00,0.0,2.85,-0.5,0.0,0.0,0.0992518734375,0.0992518734375,0.0992518734375,40.0,100.0,0.0,0.09925187343750252
2023-01-01 04:00:00,0.0,2.77,-0.84,0.0,0.0,0.09112623773749999,0.09112623773749999,0.09112623773749999,40.0,100.0,0.0,0.09112623773749817
2023-01-01 05:00:00,0.0,2.5,-1.16,0.0,0.0,0.0669921875,0.0669921875,0.0669921875,40.0,100.0,0.0,0.06699218749999858
2023-01-01 06:00:00,0.0,2.28,-1.46,5.0,0.0,0.05081695919999998,-4.9491830408,0.05081695919999998,35.0508169592,87.627042398,0.0,0.0
2023-01-01 07:00:00,14.75,2.33,-1.66,5.0,0.22125,0.0542340323875,-4.7245159676125,0.2754840323875,30.326300991587498,75.81575247896875,0.0,0.0
2023-01-01 08:00:00,145.52,2.52,-0.71,5.0,2.1828000000000003,0.0686128968,-2.7485871031999998,2.2514128968000002,27.5777138883875,68.94428472096875,0.0,0.0
2023-01-01 09:00:00,294.52,2.81,1.82,0.0,4.417799999999999,0.0951312257875,4.512931225787499,4.512931225787499,32.090645114175,80.2266127854375,0.0,0.0
2023-01-01 10:00:00,407.05,3.94,5.12,0.0,6.10575,0.2622362939,6.3679862939,6.3679862939,38.45863140807499,96.14657852018749,0.0,0.0
2023-01-01 11:00:00,468.48,4.59,6.94,0.0,7.027200000000001,0.41461230746249994,7.4418123074625,7.4418123074625,40.0,100.0,0.0,5.900443715537492
2023-01-01 12:00:00,468.45,4.83,7.93,0.0,7.02675,0.48310944176250004,7.5098594417625,7.5098594417625,40.0,100.0,0.0,7.509859441762501
2023-01-01 13:00:00,413.7,4.9,8.39,0.0,6.2055,0.5044200875000001,6.7099200875,6.7099200875,40.0,100.0,0.0,6.709920087500002
2023-01-01 14:00:00,306.05,4.82,8.22,0.0,4.59075,0.48011497030000005,5.0708649703,5.0708649703,40.0,100.0,0.0,5.070864970300001
2023-01-01 15:00:00,158.48,3.8,6.96,0.0,2.3771999999999998,0.23526369999999994,2.6124636999999997,2.6124636999999997,40.0,100.0,0.0,2.6124636999999993
2023-01-01 16:00:00,19.62,3.01,2.41,0.0,0.2943,0.11692398803749997,0.4112239880375,0.4112239880375,40.0,100.0,0.0,0.4112239880374986
2023-01-01 17:00:00,0.0,3.2,0.56,0.0,0.0,0.14049280000000003,0.14049280000000003,0.14049280000000003,40.0,100.0,0.0,0.14049279999999698
2023-01-01 18:00:00,0.0,3.15,-0.25,5.0,0.0,0.13400956406249998,-4.8659904359375,0.13400956406249998,35.1340095640625,87.83502391015625,0.0,0.0
2023-01-01 19:00:00,0.0,3.14,-0.97,5.0,0.0,0.13273732989999998,-4.8672626701,0.13273732989999998,30.2667468939625,75.66686723490625,0.0,0.0
2023-01-01 20:00:00,0.0,3.18,-1.65,5.0,0.0,0.1378749897,-4.8621250103,0.1378749897,25.4046218836625,63.51155470915625,0.0,0.0
2023-01-01 21:00:00,0.0,3.24,-2.34,0.0,0.0,0.1458274104,0.1458274104,0.1458274104,25.5504492940625,63.87612323515624,0.0,0.0
2023-01-01 22:00:00,0.0,3.29,-2.98,0.0,0.0,0.1526834015875,0.1526834015875,0.1526834015875,25.703132695649998,64.257831739125,0.0,0.0
2023-01-01 23:00:00,0.0,3.3,-3.43,0.0,0.0,0.15407988749999998,0.15407988749999998,0.15407988749999998,25.857212583149998,64.643031457875,0.0,0.0
2023-01-02 00:00:00,0.0,3.28,-3.84,0.0,0.0,0.15129537919999997,0.15129537919999997,0.15129537919999997,26.00850796235,65.021269905875,0.0,0.0
2023-01-02 01:00:00,0.0,3.26,-4.14,0.0,0.0,0.14854462209999994,0.14854462209999994,0.14854462209999994,26.15705258445,65.39263146112499,0.0,0.0
2023-01-02 02:00:00,0.0,3.21,-4.4,0.0,0.0,0.14181404028749997,0.14181404028749997,0.14181404028749997,26.2988666247375,65.74716656184376,0.0,0.0
2023-01-02 03:00:00,0.0,3.11,-4.65,0.0,0.0,0.12896899041249998,0.12896899041249998,0.12896899041249998,26.42783561515,66.069589037875,0.0,0.0
2023-01-02 04:00:00,0.0,3.02,-4.84,0.0,0.0,0.11809321929999998,0.11809321929999998,0.11809321929999998,26.54592883445,66.364822086125,0.0,0.0
2023-01-02 05:00:00,0.0,3.05,-4.87,0.0,0.0,0.12164762968749997,0.12164762968749997,0.12164762968749997,26.6675764641375,66.66894116034375,0.0,0.0
2023-01-02 06:00:00,0.0,3.16,-4.72,5.0,0.0,0.1352899016,-4.8647100984,0.1352899016,21.8028663657375,54.507165914343744,0.0,0.0
2023-01-02 07:00:00,17.83,3.32,-4.0,5.0,0.26744999999999997,0.15689835279999997,-4.5756516472,0.42434835279999994,17.2272147185375,43.06803679634375,0.0,0.0
2023-01-02 08:00:00,159.93,4.74,-0.73,5.0,2.39895,0.4566034179000001,-2.1444465820999996,2.8555534179000004,15.082768136437501,37.70692034109375,0.0,0.0
2023-01-02 09:00:00,315.73,4.06,2.1,0.0,4.735950000000001,0.28693414609999984,5.022884146100001,5.022884146100001,20.105652282537502,50.26413070634376,0.0,0.0
2023-01-02 10:00:00,431.4,4.28,5.25,0.0,6.471,0.33615179920000005,6.8071517992,6.8071517992,26.9128040817375,67.28201020434376,0.0,0.0
2023-01-02 11:00:00,493.6,3.96,7.39,0.0,7.404,0.2662500456,7.6702500456,7.6702500456,34.583054127337505,86.45763531834376,0.0,0.0
2023-01-02 12:00:00,493.65,3.52,8.92,0.0,7.40475,0.18699591679999997,7.5917459168,7.5917459168,40.0,100.0,0.0,2.1748000441375055
